did,name,n_rows,n_features,n_classes,imbalance_ratio,ir_band,missing_fraction,processed_path,source
949,arsenic-female-bladder,559,4,2,5.9875,medium,0.0,data\processed\949.csv,openml
958,segment,2086,19,2,6.0236,medium,0.0,data\processed\958.csv,openml
765,analcatdata_apnea2,475,3,2,6.4219,medium,0.0,data\processed\765.csv,openml
1065,kc3,326,39,2,6.5814,medium,0.0,data\processed\1065.csv,openml
767,analcatdata_apnea1,475,3,2,6.7869,medium,0.0,data\processed\767.csv,openml
764,analcatdata_apnea3,450,3,2,7.1818,medium,0.0,data\processed\764.csv,openml
962,mfeat-morphological,1888,6,2,8.44,medium,0.0,data\processed\962.csv,openml
1002,ipums_la_98-small,7483,55,2,8.4602,medium,0.0788,data\processed\1002.csv,openml
1019,pendigits,10992,16,2,8.6084,medium,0.0,data\processed\1019.csv,openml
954,spectrometer,531,101,2,8.6545,medium,0.0,data\processed\954.csv,openml
757,meta,528,21,2,8.7778,medium,0.0455,data\processed\757.csv,openml
980,optdigits,5620,64,2,8.8252,medium,0.0,data\processed\980.csv,openml
1020,mfeat-karhunen,1994,64,2,8.97,medium,0.0,data\processed\1020.csv,openml
995,mfeat-zernike,1994,47,2,8.97,medium,0.0,data\processed\995.csv,openml
1022,mfeat-pixel,1994,240,2,8.97,medium,0.0,data\processed\1022.csv,openml
978,mfeat-factors,1994,216,2,8.97,medium,0.0,data\processed\978.csv,openml
971,mfeat-fourier,1994,76,2,8.97,medium,0.0,data\processed\971.csv,openml
966,analcatdata_halloffame,1340,16,2,9.72,heavy,0.0009,data\processed\966.csv,openml
1016,vowel,990,12,2,10.0,heavy,0.0,data\processed\1016.csv,openml
984,analcatdata_draft,366,4,2,10.4375,heavy,0.0007,data\processed\984.csv,openml
1451,PieChart1,705,37,2,10.5574,heavy,0.0,data\processed\1451.csv,openml
1467,climate-model-simulation-crashes,540,20,2,10.7391,heavy,0.0,data\processed\1467.csv,openml
1130,OVA_Lung,1545,10935,2,11.2619,heavy,0.0,data\processed\1130.csv,openml
1071,mw1,382,37,2,11.3226,heavy,0.0,data\processed\1071.csv,openml
1138,OVA_Uterus,1545,10935,2,11.4597,heavy,0.0,data\processed\1138.csv,openml
1443,PizzaCutter1,661,37,2,11.7115,heavy,0.0,data\processed\1443.csv,openml
1000,hypothyroid,3711,29,2,11.7526,heavy,0.0554,data\processed\1000.csv,openml
1068,pc1,954,21,2,12.6286,heavy,0.0,data\processed\1068.csv,openml
450,analcatdata_lawsuit,263,4,2,12.8421,heavy,0.0,data\processed\450.csv,openml
1018,ipums_la_99-small,8841,56,2,14.5651,heavy,0.0704,data\processed\1018.csv,openml
1487,ozone-level-8hr,2526,72,2,14.7875,heavy,0.0,data\processed\1487.csv,openml
38,sick,3711,29,2,15.0649,heavy,0.0554,data\processed\38.csv,openml
1040,sylva_prior,14395,108,2,15.2472,heavy,0.0,data\processed\1040.csv,openml
1139,OVA_Omentum,1545,10935,2,19.0649,heavy,0.0,data\processed\1139.csv,openml
1146,OVA_Prostate,1545,10935,2,21.3913,heavy,0.0,data\processed\1146.csv,openml
311,oil_spill,937,49,2,21.8537,heavy,0.0,data\processed\311.csv,openml
947,arsenic-male-bladder,559,4,2,22.2917,heavy,0.0,data\processed\947.csv,openml
977,letter,18668,16,2,23.3073,heavy,0.0,data\processed\977.csv,openml
1142,OVA_Endometrium,1545,10935,2,24.3279,heavy,0.0,data\processed\1142.csv,openml
1039,hiva_agnostic,4206,1617,2,27.2282,heavy,0.0,data\processed\1039.csv,openml
950,arsenic-female-lung,559,4,2,28.4211,heavy,0.0,data\processed\950.csv,openml
310,mammography,7849,6,2,29.9016,heavy,0.0,data\processed\310.csv,openml
951,arsenic-male-lung,559,4,2,42.0,heavy,0.0,data\processed\951.csv,openml
1056,mc1,2016,38,2,42.8261,heavy,0.0,data\processed\1056.csv,openml
1452,PieChart2,745,36,2,45.5625,heavy,0.0,data\processed\1452.csv,openml
1069,pc2,1406,36,2,60.1304,heavy,0.0,data\processed\1069.csv,openml
316,yeast_ml8,2417,116,2,70.0882,heavy,0.0,data\processed\316.csv,openml
